Date,Open,High,Low,Close,Adj Close,Volume,sma_5,sma_20,sma_50,ema_12,ema_26,macd,macd_signal,macd_hist,rsi,lowest_low,highest_high,stoch_k,stoch_d,bb_middle,bb_upper,bb_lower,atr,daily_ret,obv,vwap,roc_5,roc_20,price_volatility,volume_volatility
2019-12-31,204.0,205.55999755859372,203.6000061035156,205.25,205.25,8953500,,,,205.25,205.25,0.0,0.0,0.0,,,,,,,,,,,0,205.25,,,,
2020-01-02,206.75,209.7899932861328,206.2700042724609,209.77999877929688,209.77999877929688,12077100,,,,205.9469228891226,205.5855554651331,0.36136742398949195,0.0722734847978984,0.28909393919159354,,,,,,,,,,0.022070639606805775,12077100,207.85141166954088,,,,
2020-01-03,207.2100067138672,210.3999938964844,206.9499969482422,208.6699981689453,208.6699981689453,11188400,,,,206.36585754755686,205.81403270245252,0.5518248451043348,0.16818375685918568,0.38364108824514914,,,,,,,,,,-0.005291260448139101,888700,208.13567478105696,,,,
2020-01-06,206.6999969482422,212.77999877929688,206.5200042724609,212.6000061035156,212.6000061035156,17058900,,,,207.32495732539667,206.31669739882756,1.0082599265691101,0.3361989908011706,0.6720609357679395,,,,,,,,,,0.018833603148778577,17947600,209.6811258168497,,,,
2020-01-07,212.82000732421875,214.5800018310547,211.75,213.05999755859372,213.05999755859372,14912400,209.87200012207032,,,208.20727120742697,206.81620111436578,1.3910700930611881,0.5471732112531742,0.8438968818080139,,,,,,,,,,0.0021636474217887613,32860000,210.46609000866036,,,,
2020-01-08,213.0,216.2400054931641,212.6100006103516,215.22000122070312,215.22000122070312,13475000,211.86600036621093,,,209.286152747931,207.43870482594633,1.8474479219846671,0.8072281533994728,1.0402197685851942,,,,,,,,,,0.010138006603118255,46335000,211.29089791621078,4.857491459538665,,,
2020-01-09,217.5399932861328,218.3800048828125,216.27999877929688,218.3000030517578,218.3000030517578,12642800,213.57000122070312,,,210.67289894851973,208.2432454352657,2.4296535132540384,1.131713225370386,1.2979402878836523,,,,,,,,,,0.01431094607185801,58977800,212.2721467123619,4.061399714957847,,,
2020-01-10,219.1999969482422,219.8800048828125,217.4199981689453,218.05999755859372,218.05999755859372,12119400,215.4480010986328,,,211.80937565776188,208.97041225921592,2.838963398545957,1.4731632600055002,1.3658001385404566,,,,,,,,,,-0.0010994296372373036,46858400,212.9569752940008,4.499927863154518,,,
2020-01-13,219.6000061035156,221.97000122070312,219.2100067138672,221.91000366210935,221.91000366210935,14463400,217.31000061035155,,,213.36331842766148,209.9289005112821,3.434417916379374,1.865414191280275,1.569003725099099,,,,,,,,,,0.01765571928194265,61321800,214.0647709436134,4.379114436177711,,,
2020-01-14,221.6100006103516,222.3800048828125,218.6300048828125,219.05999755859372,219.05999755859372,13288900,218.5100006103515,,,214.23973060165105,210.60527807034222,3.634452531308824,2.219221859285985,1.415230672022839,,,,,,,,,,-0.012843071770009873,48032900,214.57468927935992,2.816108170821674,,,
