Date,Open,High,Low,Close,Adj Close,Volume,sma_5,sma_20,sma_50,ema_12,ema_26,macd,macd_signal,macd_hist,rsi,lowest_low,highest_high,stoch_k,stoch_d,bb_middle,bb_upper,bb_lower,atr,daily_ret_lagged,obv,vwap,roc_5,roc_20,price_volatility,volume_volatility
2019-12-31,176.4600067138672,177.0800018310547,175.4600067138672,177.0,168.26473999023438,1728900,,,,,,,,,,,,,,,,,,,0,,,,,
2020-01-02,177.5,180.8000030517578,177.13999938964844,180.7899932861328,171.86770629882812,2857400,,,,168.26473999023438,168.26473999023438,0.0,,,,,,,,,,,,,0,452.3151674170789,,,,
2020-01-03,178.33999633789062,179.8300018310547,177.41000366210938,178.86000061035156,170.03292846679688,2805200,,,,168.8190424992488,168.53162638346353,0.2874161157852768,0.0,0.2874161157852768,,,,,,,,,,0.021412485520156288,2805200,274.50974944561983,,,,
2020-01-06,177.83999633789062,178.3800048828125,176.92999267578125,177.50999450683594,168.7495880126953,3277900,,,,169.0057941865639,168.64283394519194,0.36296024137195104,0.05748322315705537,0.3054770182148957,,,,,,,,,,-0.01067552405011507,-472700,245.16381498062103,,,,
2020-01-07,177.3699951171875,178.07000732421875,175.58999633789062,177.61000061035156,168.84466552734375,3002800,,,,168.96637785212258,168.6507416538959,0.31563619822668443,0.1185786268000345,0.19705757142664992,,,,,,,,,,-0.007547599548355488,-3475500,217.3632163078306,,,,
2020-01-08,177.6699981689453,179.10000610351562,176.72999572753906,177.75999450683594,168.98724365234375,2545500,169.5519256591797,,,168.94765287907967,168.6651063852624,0.2825464938172786,0.1579901410853645,0.1245563527319141,,,,,,,,,,0.0005634236845739604,-930000,201.08630131155257,,,,
2020-01-09,178.6999969482422,179.42999267578125,178.05999755859375,179.07000732421875,170.2326202392578,1789500,169.69642639160156,,,168.95374376727415,168.68896840504618,0.26477536222796516,0.18290141163174733,0.08187395059621783,,,,,,,,,,0.0008444336962301069,859500,188.30804631420983,0.4293850643642294,,,
2020-01-10,179.89999389648438,179.89999389648438,178.13999938964844,178.67999267578125,169.86183166503906,1671700,169.3694091796875,,,169.15049399373316,168.80331298535816,0.3471810083750029,0.19927620175099092,0.14790480662401195,,,,,,,,,,0.007369648501257098,2531200,185.3637115545119,-0.9513631704186287,,,
2020-01-13,179.25,181.33999633789065,178.69000244140625,181.2700042724609,172.32400512695312,2261900,169.33518981933594,,,169.25993055854946,168.88172177644563,0.378208782103826,0.22885716307579332,0.1493516190280327,,,,,,,,,,-0.00217812880808399,269300,189.42426120875973,-0.10062568662471127,,,
2020-01-14,180.4900054931641,181.22000122070312,179.50999450683594,180.4499969482422,171.54449462890625,2191200,170.0500732421875,,,169.73132664599618,169.13670572833507,0.5946209176611035,0.25872748688139985,0.33589343077970363,,,,,,,,,,0.014495154313238334,2460500,187.02824831054116,2.1181782760790524,,,
2020-01-15,181.2899932861328,182.44000244140625,179.85000610351562,180.72999572753903,171.81065368652344,2600800,170.5900390625,,,170.01027556644388,169.31506046171071,0.6952151047331654,0.3259061730373406,0.3693089316958248,,,,,,,,,,-0.004523516601605215,-140300,188.56267771588892,1.5990017174248639,,,
2020-01-16,181.5,182.4900054931641,180.7899932861328,182.25999450683597,173.26516723632812,2215400,171.15472106933595,,,170.2872568156869,169.49991921910424,0.7873375965826597,0.3997679593765056,0.38756963720615406,,,,,,,,,,0.0015515453188570394,2075100,184.57648245358484,1.670782937905213,,,
2020-01-17,182.8600006103516,184.05999755859372,182.52999877929688,183.22999572753903,174.18728637695312,2608000,171.76123046875,,,170.74539688040093,169.77882647963935,0.966570400761583,0.4772818868177364,0.48928851394384654,,,,,,,,,,0.008465793701352808,4683100,186.1437544650889,1.7814135697424849,,,
2020-01-21,183.0399932861328,183.3000030517578,180.47000122070312,180.92999267578125,172.0008087158203,2188600,172.6263214111328,,,171.27491834140895,170.10537906462557,1.1695392767833823,0.5751395896065058,0.5943996871768765,,175.4600067138672,184.05999755859372,,,,,,9.429077148437502,0.005322011084704981,6871700,182.6889043345438,2.5464547682752414,,,
2020-01-22,181.55999755859372,181.8800048828125,179.80999755859375,180.0500030517578,171.1642303466797,1881700,172.56168212890626,,,171.38659378362607,170.24578126101036,1.140812522615704,0.6940195270418811,0.4467929955738229,61.22221682404393,175.58999633789062,184.05999755859372,-40.223275355787564,,,,,10.019020080566408,-0.012552452630791522,4990000,180.38475069359066,-0.18755158974788078,,,
2020-01-23,179.80999755859375,180.5399932861328,179.02999877929688,179.5800018310547,170.71743774414062,2434000,172.48562927246093,,,171.35238402409584,170.3138145266155,1.0385694974803528,0.7833781261566457,0.25519137132370706,58.29258053169641,175.58999633789062,184.05999755859372,-52.252247383307385,,,,,9.79334150041853,-0.004863804858748155,2556000,182.52069607383032,-0.22167093327545295,,,
2020-01-24,179.9199981689453,180.25999450683597,176.49000549316406,177.1300048828125,168.3883514404297,2737000,172.26698608398436,,,171.2546999810258,170.34371254272847,0.910987438297326,0.8344164004213872,0.07657103787593877,45.98545510317547,175.58999633789062,184.05999755859372,-57.52724783368482,-50.00092352425992,,,,9.90621730259487,-0.0026103152605782,-181000,182.9574623708772,-0.636291125681554,,,
2020-01-27,174.27000427246094,175.33999633789062,173.47000122070312,173.5399932861328,164.9755096435547,2491500,171.2916229248047,,,170.81372328247255,170.19887097959523,0.6148523028773241,0.849730607996575,-0.2348783051192509,44.45170861985357,173.47000122070312,184.05999755859372,-85.02531121079492,-64.93493547592904,,,,9.806543622698106,-0.01364293146902551,-2672500,180.75835477280933,-2.814654482309542,,,
2020-01-28,174.1199951171875,176.75,173.24000549316406,175.4600067138672,166.80075073242188,2178400,169.449267578125,,,169.91553656879287,169.8119553250737,0.10358124371916233,0.8027549469727249,-0.6991737032535625,38.867073565950086,173.24000549316406,184.05999755859372,-80.21241279145183,-74.25499061197719,,,,9.981834411621097,-0.020267683409694426,-4850900,178.74859050195656,-5.288432310417612,,,
2020-01-29,177.0,177.74000549316406,175.6300048828125,175.6699981689453,167.00039672851562,2199000,168.4092559814453,,,169.43633874781273,169.58890313302544,-0.1525643852127132,0.6629202063220124,-0.8154845915347256,44.52920534410257,173.24000549316406,184.05999755859372,-59.51256453612276,-74.91676284612316,,,,10.030685424804691,0.011063709351835316,-2651900,178.2613830270744,-3.023275310286455,,,
2020-01-30,173.8000030517578,178.77000427246094,173.8000030517578,178.33999633789062,169.53860473632812,3076100,167.5764892578125,170.05102081298827,,169.06157843715164,169.39716191787656,-0.33558348072492095,0.4998232880150673,-0.8354067687399882,44.6981517433679,173.24000549316406,184.05999755859372,-57.66740610267411,-65.79746114341623,170.05102081298827,174.6998330272423,165.40220859873423,10.125461033412392,0.001196913054750004,424200,180.97862034209888,-2.432654071315332,,2.3244061071270203,434247.72895809496
