Date,Open,High,Low,Close,Adj Close,Volume,sma_5,sma_20,sma_50,ema_12,ema_26,macd,macd_signal,macd_hist,rsi,lowest_low,highest_high,stoch_k,stoch_d,bb_middle,bb_upper,bb_lower,atr,daily_ret_lagged,obv,vwap,roc_5,roc_20,price_volatility,volume_volatility
2019-12-31,61.209999084472656,61.400001525878906,60.93999862670898,61.400001525878906,54.25485229492188,8466700,,,,,,,,,,,,,,,,,,,0,,,,,
2020-01-02,61.380001068115234,61.45000076293945,60.810001373291016,61.04999923706055,53.945579528808594,11447900,,,,54.25485229492188,54.25485229492188,0.0,,,,,,,,,,,,,0,127.19514779232321,,,,
2020-01-03,60.59000015258789,60.790000915527344,60.06999969482422,60.400001525878906,53.3712158203125,13263200,,,,54.20727186936599,54.231943201135714,-0.024671331769724247,0.0,-0.024671331769724247,,,,,,,,,,-0.0057003706218224925,-13263200,89.62250145527561,,,,
2020-01-06,60.11000061035156,60.59000015258789,60.08000183105469,60.27000045776367,53.25634765625,15094500,,,,54.0786478618193,54.16818561737103,-0.08953775555173138,-0.00493426635394485,-0.08460348919778653,,,,,,,,,,-0.010647094970763327,-28357700,78.02428754102132,,,,
2020-01-07,60.09999847412109,60.18000030517578,59.58000183105469,59.59999847412109,52.66432189941406,14293100,,,,53.952140137885564,54.1006420646954,-0.14850192680983554,-0.021854964193502156,-0.12664696261633338,,,,,,,,,,-0.00215224934071645,-42650800,69.22004185669654,,,,
2020-01-08,59.66999816894531,60.09999847412109,59.630001068115234,59.709999084472656,52.76150894165039,15926500,53.4984634399414,,,53.75401425504379,53.99424797837826,-0.24023372333446957,-0.047184356716768835,-0.19304936661770072,,,,,,,,,,-0.011116529444663459,-58577300,66.83752998747242,,,,
2020-01-09,58.88999938964844,59.400001525878906,58.79999923706055,58.84999847412109,52.54277038574219,20134600,53.19979476928711,,,53.601321129906346,53.90293397565768,-0.30161284575133607,-0.08579423004030899,-0.21581861571102706,,,,,,,,,,0.0018454057458852091,-38442700,66.75395121390834,-2.752460453037242,,,
2020-01-10,59.02000045776367,59.29999923706055,58.84000015258789,58.9900016784668,52.66777420043945,11786700,52.91923294067383,,,53.43846716926571,53.80218111714542,-0.36371394787971667,-0.1289579531825144,-0.23475599469720226,,,,,,,,,,-0.004145797955667052,-50229400,59.42037603945483,-2.6004153728986457,,,
2020-01-13,59.02000045776367,59.369998931884766,58.77999877929688,59.150001525878906,52.81063079833984,14158400,52.77854461669922,,,53.319899020215516,53.718150975167205,-0.3982519549516894,-0.17590915212195488,-0.22234280282973454,,,,,,,,,,0.0023790868616091476,-36071000,59.849164344032296,-1.3180168543309168,,,
2020-01-14,59.0,59.130001068115234,58.7599983215332,59.040000915527344,52.71241760253906,12697100,52.68940124511719,,,53.24155006300387,53.65092725836518,-0.40937719536130857,-0.2203777126879018,-0.18899948267340677,,,,,,,,,,0.0027124100091397985,-23373900,58.41967663650226,-0.8369271974621673,,,
2020-01-15,59.25,59.41999816894531,58.869998931884766,59.09999847412109,52.76597595214844,10291300,52.69902038574219,,,53.160145069086205,53.58140802460028,-0.42126295551407367,-0.25817760922258315,-0.16308534629149052,,,,,,,,,,-0.0018597239668620702,-33665200,56.9719322642966,0.09132502117250585,,,
2020-01-16,59.380001068115234,59.84999847412109,59.220001220703125,59.66999816894531,53.27488708496094,10689600,52.699913787841794,,,53.099503666480395,53.5210056488631,-0.42150198238270775,-0.29079467848088125,-0.1307073039018265,,,,,,,,,,0.0010160480593626176,-22975600,56.857890426887025,0.00846641915224211,,,
2020-01-17,59.68999862670898,60.150001525878906,59.63999938964844,60.130001068115234,53.68559265136719,15615700,52.846337127685544,,,53.126485730862015,53.50277464412961,-0.3762889132675937,-0.3169361392612466,-0.05935277400634714,,,,,,,,,,0.009644683408756016,-7359900,58.31476617038781,1.3933728538558565,,,
2020-01-21,60.20000076293945,60.470001220703125,60.09999847412109,60.31999969482422,53.855224609375,12857600,53.04990081787109,,,53.2125021801705,53.5163167187398,-0.3038145385692985,-0.32880669406251606,0.024992155493217538,,58.7599983215332,61.45000076293945,,,,,,6.4247234889439175,0.007709177604661388,5497700,57.059904170037974,1.9325260396503285,,,
