ticker,date_of_tweets,prediction,confidence
KO,2020-01-07,1,0.94287109375
KO,2020-01-09,1,0.99609375
KO,2020-01-10,0,0.64404296875
KO,2020-01-11,0,0.69921875
KO,2020-01-12,0,0.7578125
KO,2020-01-13,1,0.53125
KO,2020-01-14,1,0.85595703125
KO,2020-01-17,0,0.63671875
KO,2020-01-18,1,0.86669921875
KO,2020-01-20,0,0.6396484375
KO,2020-01-21,1,0.64404296875
KO,2020-01-23,0,0.7177734375
KO,2020-01-24,0,0.56591796875
KO,2020-01-25,1,0.76611328125
KO,2020-01-26,1,0.71826171875
KO,2020-01-27,1,0.92822265625
KO,2020-01-28,1,0.607421875
KO,2020-01-29,1,0.861328125
KO,2020-01-30,1,0.99609375
KO,2020-02-06,1,0.6298828125
KO,2020-02-07,1,0.857421875
KO,2020-02-08,1,0.9111328125
KO,2020-02-10,1,0.99462890625
KO,2020-02-12,1,0.85791015625
KO,2020-02-19,1,0.53369140625
KO,2020-02-20,1,0.97998046875
KO,2020-02-21,1,0.63671875
KO,2020-02-22,1,0.53125
KO,2020-02-23,1,0.822265625
KO,2020-02-24,1,0.8076171875
KO,2020-02-25,1,0.57373046875
KO,2020-02-26,0,0.7900390625
KO,2020-02-27,1,0.9990234375
KO,2020-02-28,1,0.96142578125
KO,2020-03-04,1,0.9765625
KO,2020-03-06,1,0.74853515625
KO,2020-03-08,0,0.91845703125
KO,2020-03-10,1,0.9970703125
KO,2020-03-11,1,0.94140625
KO,2020-03-12,1,0.607421875
KO,2020-03-13,1,0.80078125
KO,2020-03-16,0,0.76611328125
KO,2020-03-17,0,0.63330078125
KO,2020-03-18,0,0.79541015625
KO,2020-03-19,1,0.82421875
KO,2020-03-20,0,0.5078125
KO,2020-03-21,1,0.57373046875
KO,2020-03-22,1,0.93798828125
KO,2020-03-23,1,0.99169921875
KO,2020-03-24,1,0.82861328125
KO,2020-03-25,1,0.994140625
KO,2020-03-26,1,0.998046875
KO,2020-03-27,1,1.0
KO,2020-03-30,0,0.6259765625
KO,2020-03-31,1,0.97607421875
KO,2020-04-01,0,0.71533203125
KO,2020-04-02,0,0.92822265625
KO,2020-04-03,1,0.8974609375
KO,2020-04-04,1,0.97314453125
KO,2020-04-06,0,0.5810546875
