ticker,date_of_tweets,prediction,confidence
TSLA,2020-01-04,1,0.998046875
TSLA,2020-01-05,1,0.9931640625
TSLA,2020-01-06,1,0.96533203125
TSLA,2020-01-07,1,0.99658203125
TSLA,2020-01-08,1,0.9951171875
TSLA,2020-01-09,1,0.9931640625
TSLA,2020-01-10,1,0.96435546875
TSLA,2020-01-11,1,0.98486328125
TSLA,2020-01-12,1,0.93701171875
TSLA,2020-01-13,1,0.9951171875
TSLA,2020-01-14,1,0.97021484375
TSLA,2020-01-15,1,0.98388671875
TSLA,2020-01-16,1,0.93359375
TSLA,2020-01-17,1,0.87548828125
TSLA,2020-01-18,1,0.98193359375
TSLA,2020-01-19,1,0.9150390625
TSLA,2020-01-20,1,0.96435546875
TSLA,2020-01-21,1,0.99755859375
TSLA,2020-01-22,1,0.99169921875
TSLA,2020-01-23,1,0.9482421875
TSLA,2020-01-24,1,0.97998046875
TSLA,2020-01-25,1,0.970703125
TSLA,2020-01-26,1,0.99609375
TSLA,2020-01-27,1,0.93994140625
TSLA,2020-01-28,1,0.92919921875
TSLA,2020-01-29,1,0.98486328125
TSLA,2020-01-30,1,0.95947265625
TSLA,2020-01-31,1,0.98828125
TSLA,2020-02-01,1,0.99560546875
TSLA,2020-02-02,1,0.99560546875
TSLA,2020-02-03,1,0.9912109375
TSLA,2020-02-04,1,0.9013671875
TSLA,2020-02-05,1,0.8740234375
TSLA,2020-02-06,1,0.74560546875
TSLA,2020-02-07,1,0.97119140625
TSLA,2020-02-08,1,0.9951171875
TSLA,2020-02-09,1,0.9716796875
TSLA,2020-02-10,1,0.97021484375
TSLA,2020-02-11,1,0.98583984375
TSLA,2020-02-12,1,0.9423828125
TSLA,2020-02-13,1,0.8974609375
TSLA,2020-02-14,1,0.96630859375
TSLA,2020-02-15,1,0.93359375
TSLA,2020-02-16,1,0.779296875
TSLA,2020-02-17,1,0.96630859375
TSLA,2020-02-18,1,0.98828125
TSLA,2020-02-19,1,0.9921875
TSLA,2020-02-20,1,0.9921875
TSLA,2020-02-21,1,0.96044921875
TSLA,2020-02-22,1,0.93798828125
TSLA,2020-02-23,1,0.98779296875
TSLA,2020-02-24,1,0.83544921875
TSLA,2020-02-25,1,0.90478515625
TSLA,2020-02-26,1,0.888671875
TSLA,2020-02-27,1,0.8720703125
TSLA,2020-02-28,1,0.92919921875
TSLA,2020-02-29,1,0.9716796875
TSLA,2020-03-01,1,0.98876953125
TSLA,2020-03-02,1,0.97412109375
TSLA,2020-03-03,1,0.9892578125
TSLA,2020-03-04,1,0.9208984375
TSLA,2020-03-05,1,0.81982421875
TSLA,2020-03-06,1,0.9541015625
TSLA,2020-03-07,1,0.97607421875
TSLA,2020-03-08,1,0.96435546875
TSLA,2020-03-09,1,0.91845703125
TSLA,2020-03-10,1,0.9951171875
TSLA,2020-03-11,1,0.98193359375
TSLA,2020-03-12,1,0.96728515625
TSLA,2020-03-13,1,0.97119140625
TSLA,2020-03-14,1,0.9931640625
TSLA,2020-03-15,1,0.93603515625
TSLA,2020-03-16,1,0.92626953125
TSLA,2020-03-17,1,0.966796875
TSLA,2020-03-18,1,0.9482421875
TSLA,2020-03-19,1,0.9755859375
TSLA,2020-03-20,1,0.978515625
TSLA,2020-03-21,1,0.7021484375
TSLA,2020-03-22,1,0.9951171875
TSLA,2020-03-23,1,0.947265625
TSLA,2020-03-24,1,0.90185546875
TSLA,2020-03-25,1,0.990234375
TSLA,2020-03-26,1,0.953125
TSLA,2020-03-27,1,0.982421875
TSLA,2020-03-28,1,0.85986328125
TSLA,2020-03-29,1,0.939453125
TSLA,2020-03-30,1,0.7021484375
TSLA,2020-03-31,1,0.7978515625
TSLA,2020-04-01,1,0.9873046875
TSLA,2020-04-02,1,0.99755859375
TSLA,2020-04-03,1,0.9990234375
TSLA,2020-04-04,1,0.85986328125
TSLA,2020-04-05,1,0.859375
TSLA,2020-04-06,1,0.99609375
TSLA,2020-04-07,1,0.9580078125
TSLA,2020-04-08,1,0.865234375
TSLA,2020-04-09,1,0.97900390625
TSLA,2020-04-10,1,0.98046875
TSLA,2020-04-11,1,0.92626953125
TSLA,2020-04-12,1,0.99560546875
TSLA,2020-04-13,1,0.9951171875
TSLA,2020-04-14,1,0.9765625
TSLA,2020-04-15,1,0.9912109375
