Date,Open,High,Low,Close,Adj Close,Volume,sma_5,sma_20,sma_50,ema_12,ema_26,macd,macd_signal,macd_hist,rsi,lowest_low,highest_high,stoch_k,stoch_d,bb_middle,bb_upper,bb_lower,atr,daily_ret_lagged,obv,vwap,roc_5,roc_20,price_volatility,volume_volatility,prophet_predicted_price,gemini_sentiment,pct_change_adj_close,price_change_direction
2020-03-16,151.13999938964844,165.30999755859375,147.97999572753906,152.00999450683594,149.84469604492188,23692000,170.06058349609376,187.16984176635745,193.296423034668,177.89009344157952,185.37835098147067,-7.488257539891151,-4.688898270335985,-2.7993592695551666,40.365916566543774,147.97999572753906,194.4900054931641,38.0779044877919,15.000657209339508,187.16984176635745,217.0146368001404,157.32504673257444,11.85746983119421,0.0983883967271879,7453800,195.97302967815816,-4.626799479299604,-15.221784380613002,14.9223975168915,5709885.879678104,141.55426075943208,0.0,-13.54719208596138,-1
2020-03-17,155.75,163.6999969482422,149.25,157.88999938964844,155.64096069335938,22298000,166.29105529785156,184.2973503112793,192.53081420898437,173.57541691901682,182.74622839357815,-9.17081147456136,-5.248770124247018,-3.922041350314343,36.27726178929521,147.97999572753906,194.4900054931641,4.009245164168917,14.606043926383188,184.2973503112793,216.91642927525712,151.67827134730146,12.33292279924666,-0.1354719208596138,-14844200,193.95247574719724,-11.17279025375877,-27.71410825296311,16.309539481988924,5728174.219582953,155.97334962909878,0.0,3.868181391418646,1
2020-03-18,148.4600067138672,150.67999267578125,139.8000030517578,148.47999572753906,146.36500549316406,22787500,161.41945190429686,181.66981887817383,191.91105407714844,170.8162698073772,180.73843078615457,-9.922160978777356,-6.033178394309887,-3.8889825844674686,39.32111349654513,139.8000030517578,194.4900054931641,16.471647725781466,19.51959912591409,181.66981887817383,214.64890654858627,148.6907312077614,13.011562892368868,0.0386818139141864,7943300,192.3104636495223,-13.532308507679414,-25.24147532798927,16.489543835206224,5616125.021876039,148.1539701780206,1.0,-5.95984190721529,-1
2020-03-19,146.9199981689453,157.25,141.47000122070312,152.25,150.081298828125,19362800,156.5951690673828,178.47449417114257,191.11384674072264,167.0545368359598,178.19225113482193,-11.137714298862136,-6.810974911203382,-4.326739387658754,38.69813935887946,139.8000030517578,194.4900054931641,12.00402660146131,10.828306497137229,178.47449417114257,212.16149859470565,144.78748974757949,13.4708480834961,-0.0595984190721529,-11419500,189.94983988293487,-14.14858393423144,-30.39237093563567,16.843502211781544,5252074.691643799,158.1302807357775,0.0,2.539058651649162,1
2020-03-20,154.82000732421875,158.25999450683594,145.6699981689453,146.8300018310547,144.73851013183594,18692100,155.05147705078124,175.55665969848633,190.40080841064457,164.44326945013907,176.1099583713629,-11.666688921223823,-7.676322788735133,-3.99036613248869,39.573191848614506,139.8000030517578,194.4900054931641,18.79922347303303,15.7582992667586,175.55665969848633,208.41506460166667,142.69825479530598,13.422342572893422,0.0253905865164916,7272600,188.44148937945292,-4.891300301260015,-27.997146745814405,16.429202451590168,4877059.808089731,149.6440336401088,0.0,-3.5599296767865107,-1
2020-03-23,141.3300018310547,143.35000610351562,133.92999267578125,135.74000549316406,133.8064727783203,30344100,149.33409423828124,172.50180435180664,189.51732666015624,161.41176801655396,173.7861473906572,-12.374379374103228,-8.474396015232871,-3.899983358870356,33.31624135761673,133.92999267578125,194.4900054931641,9.029999743315312,13.27774993926988,172.50180435180664,204.8640807352487,140.13952796836455,13.512951442173556,-0.0355992967678651,-23071500,189.25222757847752,-16.49320299972137,-29.682475659289132,16.18113819172105,4469555.859767163,156.26232315314084,1.0,-7.5529569452926655,-1
2020-03-24,144.83999633789062,155.25,143.5800018310547,154.52999877929688,152.32879638671875,24488300,146.12644958496094,169.3942108154297,188.38902099609376,157.16479951836416,170.82469001196557,-13.65989049360141,-9.254392687006945,-4.405497806594466,32.2541950086963,133.92999267578125,191.9199981689453,-0.2039627994026497,9.208420138981896,169.3942108154297,204.1224251455728,134.66599648528657,14.229943411690853,-0.0755295694529266,-47559800,186.3515587976224,-10.703230537965435,-31.71687901397301,17.364107165071555,5102774.084428054,170.56459686668325,0.0,13.84262152929232,1
2020-03-25,159.32000732421875,168.17999267578125,153.5800018310547,161.77999877929688,159.4755401611328,20619600,145.46401672363282,167.7248336791992,187.6209243774414,156.42079903657256,169.45462381750283,-13.033824780930274,-10.135492248325836,-2.898332532604437,36.84141232708894,133.92999267578125,185.9900054931641,31.727542624748285,13.517859856220312,167.7248336791992,202.3592012540387,133.09046610435968,14.913600376674111,0.1384262152929232,-26940200,184.57629237157647,-2.1280800965795765,-17.97770884585178,17.317183787419765,5253381.505969578,137.0937750002284,0.0,4.691656432622593,1
2020-03-26,162.0800018310547,169.52999877929688,161.7899932861328,168.8800048828125,166.47439575195312,17062900,148.08612365722655,166.4714454650879,186.96505157470705,156.89075920958183,168.7154324355495,-11.824673225967672,-10.715158754846724,-1.1095144711209477,41.6622586617297,133.92999267578125,182.6100006103516,49.06942219734126,26.864334007562295,166.4714454650879,200.34918998895225,132.59370094122357,15.2024895804269,0.0469165643262259,-9877300,183.2697908238252,8.957424367794719,-13.583675852038525,16.93887226193216,5129043.221670412,156.06134697751153,1.0,4.388670252346372,1
2020-03-27,161.0800018310547,167.10000610351562,158.14999389648438,161.55999755859375,159.2586669921875,14950700,151.3647430419922,165.9228729248047,186.43498138427736,158.36516483148512,168.54942971824607,-10.184264886760957,-10.937061649070914,0.7527967623099574,45.022512142023096,133.92999267578125,182.6100006103516,66.85373412410706,49.2168996487322,165.9228729248047,199.4053942702862,132.4403515793232,14.88292694091797,0.0438867025234637,5073400,182.28283610007833,10.922811204213856,-6.182985411327502,16.741260672740758,5139631.126688091,169.0224808809885,0.0,-4.334437573521555,-1
